TIRF Data File: Project 2356; Run 004; Date 01-18-2022; Time 12:51; Tire_Name=Hoosier 16.0X7.5-10, R20, C2000; Rim_Width=7.0; ISO False; ID j8dxoI9
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	0.03	-0.04	0.003	0.010	19.26	-209.45	82.97	0.11	-45.65	-1113.31	-10.48	0.54	-0.0001	0.0410	27.73	30.80	30.52	31.78	25.44	-1.0920
0.010	0.02	-0.04	0.010	0.004	19.27	-150.77	82.51	0.37	-44.23	-1114.01	-9.83	0.66	-0.0003	0.0397	27.74	30.77	30.53	31.81	25.44	-1.1278
0.020	0.02	0.03	-0.011	0.003	19.27	242.55	82.36	-0.05	-43.53	-1115.44	-9.23	0.62	0.0000	0.0390	27.73	30.75	30.52	31.80	25.46	-0.9206
0.030	0.02	-0.18	0.002	-0.003	19.27	-35.53	82.71	0.64	-43.50	-1115.44	-9.18	0.77	-0.0006	0.0390	27.77	30.74	30.57	31.80	25.45	-1.5422
0.040	0.01	0.03	0.003	0.006	19.26	53.75	83.22	-0.07	-42.85	-1114.86	-9.40	0.63	0.0001	0.0384	27.76	30.81	30.59	31.77	25.43	-0.6416
0.050	0.03	0.03	-0.004	0.001	19.27	336.95	83.62	0.09	-42.12	-1116.04	-8.45	0.48	-0.0001	0.0377	27.76	30.76	30.59	31.77	25.44	-0.9428
0.060	0.04	0.09	0.010	-0.003	19.27	119.53	83.62	-0.61	-42.82	-1111.51	-10.61	0.26	0.0005	0.0385	27.76	30.80	30.62	31.77	25.46	-0.8388
0.070	0.03	-0.04	0.010	0.006	19.26	-209.45	83.22	-0.18	-44.25	-1113.68	-10.51	0.34	0.0002	0.0397	27.78	30.81	30.68	31.76	25.45	-1.0920
0.080	0.02	0.09	0.003	0.003	19.26	67.21	82.66	0.09	-43.54	-1114.27	-9.93	0.48	-0.0001	0.0391	27.80	30.84	30.71	31.77	25.43	-0.7134
0.090	0.01	-0.11	-0.003	0.007	19.26	-12.74	82.46	0.09	-44.27	-1113.09	-10.88	0.51	-0.0001	0.0398	27.82	30.81	30.74	31.78	25.45	-2.5113
0.100	0.04	0.03	0.002	0.010	19.26	431.35	82.66	0.37	-44.96	-1116.43	-9.82	0.69	-0.0003	0.0403	27.80	30.84	30.78	31.78	25.46	-0.9553
0.110	0.01	-0.04	-0.004	0.001	19.26	-33.41	83.27	-0.32	-44.94	-1115.22	-10.46	0.45	0.0003	0.0403	27.79	30.90	30.80	31.77	25.44	-1.5766
0.120	0.03	0.03	0.002	-0.000	19.27	336.95	83.83	0.35	-42.14	-1115.09	-9.47	0.62	-0.0003	0.0378	27.78	30.86	30.79	31.75	25.44	-0.9428
0.130	0.04	0.03	0.000	-0.003	19.27	431.35	83.88	0.34	-42.13	-1113.78	-9.99	0.60	-0.0003	0.0378	27.76	30.88	30.82	31.73	25.46	-0.9553
0.140	0.03	-0.18	0.007	-0.000	19.27	-49.36	83.67	0.35	-41.43	-1114.84	-8.95	0.62	-0.0003	0.0372	27.76	30.86	30.84	31.69	25.45	-1.3903
0.150	0.04	0.03	-0.004	0.001	19.27	431.35	83.22	1.45	-41.44	-1113.42	-9.34	0.84	-0.0013	0.0372	27.76	30.88	30.83	31.65	25.44	-0.9553
0.160	0.01	0.03	0.003	0.001	19.26	53.75	82.76	0.09	-42.83	-1114.13	-9.56	0.48	-0.0001	0.0384	27.76	30.87	30.83	31.59	25.45	-0.6416
0.170	0.03	0.03	0.004	0.001	19.26	336.95	82.71	0.36	-44.23	-1114.39	-10.28	0.63	-0.0003	0.0397	27.78	30.84	30.83	31.59	25.46	-0.9428
0.180	0.03	-0.04	0.006	0.010	19.26	-209.45	83.02	2.16	-44.98	-1115.24	-10.53	1.08	-0.0019	0.0403	27.78	30.79	30.82	31.56	25.44	-1.0919
0.190	0.01	0.09	-0.003	0.010	19.26	41.05	83.57	-0.85	-44.97	-1115.82	-10.18	0.19	0.0008	0.0403	27.80	30.75	30.82	31.56	25.44	-0.5309
0.200	0.03	-0.04	0.007	0.001	19.27	-209.45	83.98	-0.16	-44.93	-1115.81	-10.11	0.32	0.0001	0.0403	27.82	30.71	30.80	31.54	25.46	-1.0920
