TIRF Data File: Project 2356; Run 005; Date 01-18-2022; Time 13:44; Tire_Name=Hoosier 16.0X7.5-10, R20, C2000; Rim_Width=7.0; ISO False; ID jS05oFT
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	0.03	0.11	-0.003	-0.010	19.70	82.44	83.67	0.20	-37.15	-659.33	-4.92	1.50	-0.0003	0.0563	28.69	30.28	30.20	31.48	25.49	-0.7610
0.010	0.01	0.04	-0.010	-0.007	19.70	36.36	82.86	-0.07	-37.88	-661.51	-4.56	1.36	0.0001	0.0573	28.69	30.27	30.23	31.46	25.50	-0.4581
0.020	0.01	0.04	0.003	-0.007	19.70	36.36	82.56	-0.33	-38.57	-661.38	-4.61	1.20	0.0005	0.0583	28.70	30.25	30.27	31.45	25.52	-0.4581
0.030	0.02	0.11	0.006	-0.012	19.71	59.35	82.71	-0.34	-37.12	-657.79	-5.12	1.18	0.0005	0.0564	28.71	30.25	30.24	31.44	25.50	-0.6679
0.040	0.03	0.04	0.000	-0.006	19.70	227.94	83.32	-1.28	-38.59	-657.78	-5.59	0.87	0.0019	0.0587	28.72	30.25	30.26	31.44	25.50	-0.9136
0.050	0.04	0.04	0.003	-0.007	19.70	291.79	84.03	-0.34	-37.88	-659.36	-5.14	1.20	0.0005	0.0574	28.72	30.24	30.24	31.41	25.51	-0.9325
0.060	0.03	-0.03	-0.001	-0.006	19.70	-298.07	84.58	-1.02	-37.89	-662.69	-3.87	1.02	0.0015	0.0572	28.74	30.27	30.23	31.40	25.51	-1.0661
0.070	0.01	-0.03	0.002	-0.018	19.71	-47.54	84.89	0.20	-37.74	-659.22	-4.89	1.46	-0.0003	0.0573	28.78	30.28	30.23	31.43	25.49	-1.4145
0.080	0.03	-0.10	-0.013	-0.010	19.70	-90.11	84.48	-0.06	-37.84	-659.93	-4.77	1.35	0.0001	0.0573	28.79	30.28	30.26	31.43	25.50	-1.2186
0.090	0.03	-0.03	0.009	-0.002	19.70	-298.07	83.72	-0.20	-38.64	-661.25	-4.51	1.53	0.0003	0.0584	28.79	30.30	30.22	31.40	25.51	-1.0661
0.100	0.01	0.04	0.002	-0.010	19.70	36.36	82.91	0.22	-39.23	-657.78	-5.76	1.51	-0.0003	0.0596	28.80	30.27	30.24	31.37	25.50	-0.4581
0.110	0.01	-0.03	-0.007	-0.007	19.70	-47.54	82.41	-0.48	-37.88	-658.50	-5.18	1.33	0.0007	0.0575	28.79	30.28	30.23	31.41	25.50	-1.4144
0.120	0.03	0.04	0.013	-0.002	19.70	227.94	82.36	0.63	-38.65	-658.63	-5.60	1.58	-0.0010	0.0587	28.78	30.26	30.24	31.44	25.51	-0.9136
0.130	0.01	0.04	0.007	-0.010	19.70	36.36	82.66	0.89	-37.84	-658.51	-5.15	1.69	-0.0014	0.0575	28.78	30.26	30.27	31.43	25.51	-0.4581
0.140	0.02	0.04	0.000	-0.007	19.70	164.08	83.42	0.90	-37.87	-660.41	-4.28	1.71	-0.0014	0.0573	28.76	30.27	30.28	31.45	25.49	-0.8799
0.150	0.03	0.04	-0.004	-0.018	19.70	227.94	84.28	0.21	-38.44	-657.78	-5.48	1.47	-0.0003	0.0584	28.76	30.27	30.28	31.45	25.50	-0.9136
0.160	0.04	-0.10	-0.004	0.001	19.70	-115.36	84.74	0.90	-37.98	-659.70	-4.55	1.75	-0.0014	0.0576	28.77	30.25	30.26	31.43	25.51	-1.1708
0.170	0.01	0.04	-0.008	-0.002	19.70	36.36	84.79	1.31	-37.95	-659.24	-5.03	1.76	-0.0020	0.0576	28.79	30.22	30.27	31.41	25.50	-0.4582
0.180	0.03	0.04	-0.011	-0.016	19.70	227.94	84.48	0.37	-39.15	-659.10	-5.15	1.35	-0.0006	0.0594	28.81	30.20	30.27	31.40	25.50	-0.9136
0.190	0.04	-0.03	-0.008	0.001	19.70	-381.58	83.67	-1.69	-39.38	-659.94	-5.29	0.88	0.0026	0.0597	28.84	30.17	30.27	31.39	25.51	-1.0516
0.200	0.03	-0.10	0.007	-0.005	19.70	-90.11	83.07	-0.21	-39.30	-660.66	-5.04	1.51	0.0003	0.0595	28.86	30.14	30.27	31.37	25.51	-1.2186
0.210	0.02	0.04	0.000	0.006	19.70	164.08	82.91	0.48	-38.03	-661.13	-4.21	1.75	-0.0007	0.0575	28.85	30.14	30.34	31.37	25.49	-0.8799
0.220	0.03	0.04	0.004	-0.003	19.70	227.94	83.12	0.63	-38.62	-658.39	-5.26	1.57	-0.0010	0.0587	28.84	30.15	30.36	31.36	25.50	-0.9136
0.230	0.03	0.04	0.004	-0.007	19.70	227.94	83.67	0.21	-37.87	-658.38	-5.02	1.52	-0.0003	0.0575	28.83	30.20	30.35	31.32	25.51	-0.9136
0.240	0.04	-0.03	0.002	-0.000	19.70	-381.58	84.43	-0.35	-36.58	-659.24	-4.63	1.23	0.0005	0.0555	28.81	30.20	30.35	31.30	25.50	-1.0516
0.250	0.04	-0.03	0.000	-0.000	19.70	-381.58	84.99	-0.33	-37.96	-658.38	-5.09	1.24	0.0005	0.0577	28.80	30.20	30.36	31.29	25.49	-1.0516
0.260	0.03	0.11	0.003	-0.015	19.71	82.44	85.24	-1.27	-38.47	-658.96	-4.80	0.83	0.0019	0.0584	28.79	30.22	30.31	31.26	25.50	-0.7610
0.270	0.03	-0.10	-0.011	-0.012	19.70	-90.11	84.84	-1.16	-38.50	-661.71	-3.90	1.13	0.0017	0.0582	28.79	30.22	30.34	31.21	25.51	-1.2186
0.280	0.01	0.11	-0.004	0.001	19.70	13.15	84.28	-0.33	-38.68	-658.39	-5.30	1.25	0.0005	0.0587	28.78	30.22	30.33	31.20	25.50	0.4980
0.290	0.04	0.04	0.000	-0.010	19.70	291.79	83.37	0.36	-38.53	-659.94	-4.97	1.37	-0.0005	0.0584	28.79	30.21	30.31	31.23	25.49	-0.9325
