TIRF Data File: Project 2356; Run 052; Date 01-20-2022; Time 18:48; Tire_Name=Hoosier 20.5X7.0-13, R20; Rim_Width=7.0; ISO False; ID i7cjuCz
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.16	404.14	0.002	0.009	25.53	26.36	82.86	-436.92	16.20	-1040.58	87.07	34.46	0.4199	-0.0156	33.76	40.09	45.20	44.03	26.50	-0.0315
0.010	40.15	404.21	0.006	0.004	25.54	26.35	82.86	-433.73	12.37	-1022.58	68.18	32.40	0.4242	-0.0121	33.72	40.08	45.14	44.04	26.50	-0.0309
0.020	40.15	404.27	0.009	0.001	25.54	26.35	82.91	-425.18	2.34	-1011.41	50.59	22.80	0.4204	-0.0023	33.69	40.08	45.19	44.00	26.48	-0.0306
0.030	40.15	404.34	-0.001	0.001	25.54	26.34	82.86	-417.49	-4.80	-1013.72	40.17	7.40	0.4118	0.0047	33.64	40.06	45.15	43.99	26.50	-0.0304
0.040	40.14	404.14	-0.007	-0.006	25.54	26.35	82.86	-409.23	-11.01	-1025.93	37.00	-9.27	0.3989	0.0107	33.58	40.02	45.13	44.01	26.50	-0.0308
0.050	40.14	403.80	-0.004	-0.002	25.54	26.37	82.91	-412.78	-13.00	-1046.33	42.44	-26.79	0.3945	0.0124	33.54	40.06	45.11	44.03	26.48	-0.0316
0.060	40.12	403.86	0.003	0.004	25.53	26.35	82.97	-427.65	-11.39	-1070.94	55.00	-41.37	0.3993	0.0106	33.54	40.10	45.17	44.04	26.49	-0.0309
0.070	40.09	403.73	0.004	-0.009	25.53	26.34	83.02	-447.44	-8.08	-1097.83	73.63	-50.28	0.4076	0.0074	33.57	40.17	45.25	44.10	26.51	-0.0306
0.080	40.12	403.66	0.000	0.006	25.54	26.36	82.86	-465.09	-2.23	-1128.69	95.90	-52.31	0.4121	0.0020	33.57	40.26	45.32	44.19	26.50	-0.0313
0.090	40.12	403.66	-0.003	0.007	25.53	26.36	82.86	-468.38	3.01	-1151.40	116.48	-45.85	0.4068	-0.0026	33.59	40.36	45.36	44.22	26.48	-0.0317
0.100	40.10	403.73	-0.004	0.003	25.53	26.34	82.91	-460.16	8.20	-1165.68	132.48	-32.68	0.3948	-0.0070	33.63	40.39	45.37	44.28	26.50	-0.0311
0.110	40.10	403.80	-0.001	-0.006	25.53	26.34	82.91	-448.98	9.07	-1158.60	138.15	-15.23	0.3875	-0.0078	33.67	40.36	45.35	44.27	26.51	-0.0308
