TIRF Data File: Project 2356; Run 055; Date 01-20-2022; Time 20:20; Tire_Name=Hoosier 20.5X7.0-13, R20; Rim_Width=8.0; ISO False; ID C0L5NC9
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.10	405.04	-0.010	0.004	25.45	26.26	83.52	-384.03	-21.78	-1160.20	137.78	6.30	0.3310	0.0188	33.74	40.28	43.49	42.97	26.39	-0.0307
0.010	40.11	404.97	0.004	-0.006	25.46	26.27	83.77	-372.53	-25.39	-1130.92	126.64	23.20	0.3294	0.0225	33.77	40.19	43.45	42.90	26.38	-0.0309
0.020	40.09	404.90	0.000	-0.005	25.46	26.26	83.77	-369.27	-28.55	-1097.57	108.82	36.12	0.3364	0.0260	33.82	40.12	43.39	42.82	26.39	-0.0307
0.030	40.10	405.04	0.004	0.014	25.45	26.26	83.72	-379.66	-29.87	-1060.72	87.17	41.45	0.3579	0.0282	33.84	40.03	43.30	42.80	26.40	-0.0308
0.040	40.12	405.18	-0.003	-0.000	25.46	26.26	83.83	-392.41	-28.03	-1022.95	65.46	38.89	0.3836	0.0274	33.86	40.01	43.20	42.83	26.38	-0.0305
0.050	40.13	405.31	0.004	0.004	25.46	26.27	83.67	-407.93	-26.96	-995.76	48.59	28.44	0.4097	0.0271	33.89	39.97	43.13	42.85	26.38	-0.0308
0.060	40.18	405.11	0.007	0.001	25.46	26.31	83.57	-425.08	-26.38	-980.21	37.56	12.83	0.4337	0.0269	33.91	39.98	43.15	42.94	26.39	-0.0325
0.070	40.18	405.11	0.004	0.007	25.45	26.31	83.67	-444.84	-22.30	-993.70	36.44	-5.04	0.4477	0.0224	33.91	40.08	43.20	43.04	26.39	-0.0325
0.080	40.20	405.11	0.003	0.001	25.46	26.32	83.67	-467.49	-15.19	-1029.07	44.61	-22.99	0.4543	0.0148	33.91	40.24	43.26	43.11	26.38	-0.0327
0.090	40.20	405.04	0.002	-0.007	25.46	26.33	83.62	-486.10	-12.83	-1071.09	57.54	-37.42	0.4538	0.0120	33.93	40.25	43.32	43.20	26.38	-0.0329
0.100	40.19	405.18	0.000	0.004	25.45	26.31	83.72	-492.59	-11.19	-1117.05	78.22	-45.35	0.4410	0.0100	33.95	40.25	43.44	43.20	26.39	-0.0326
0.110	40.19	405.25	-0.003	-0.002	25.45	26.31	83.98	-488.17	-13.48	-1149.11	99.86	-45.88	0.4248	0.0117	33.96	40.20	43.51	43.22	26.39	-0.0325
