TIRF Data File: Project 2356; Run 070; Date 01-21-2022; Time 12:34; Tire_Name=Hoosier 18.0X6.0-10, R20; Rim_Width=6.0; ISO False; ID Agd3ivW
ET	V	N	SA	IA	RL	RE	P	FX	FY	FZ	MX	MZ	NFX	NFY	RST	TSTI	TSTC	TSTO	AmbTmp	SR
s	kph	rpm	deg	deg	cm	cm	kPa	N	N	N	Nm	Nm	none	none	deg c	deg c	deg c	deg c	deg c	SAE
0.000	40.20	471.13	-0.007	-0.009	21.66	22.63	82.66	-545.00	-27.73	-1195.83	124.59	-41.23	0.4557	0.0232	33.61	41.52	45.08	44.72	26.46	-0.0431
0.010	40.21	471.00	-0.001	-0.016	21.66	22.65	82.66	-539.16	-24.59	-1201.24	139.75	-29.29	0.4488	0.0205	33.63	41.50	45.12	44.67	26.46	-0.0434
0.020	40.24	471.13	-0.001	-0.022	21.66	22.65	82.66	-538.25	-18.23	-1176.94	140.68	-11.19	0.4573	0.0155	33.66	41.47	45.07	44.63	26.45	-0.0440
0.030	40.26	471.13	0.007	-0.009	21.66	22.67	82.56	-542.92	-8.82	-1134.89	128.41	8.98	0.4784	0.0078	33.70	41.39	45.01	44.59	26.45	-0.0444
0.040	40.25	471.41	-0.001	-0.013	21.66	22.65	82.66	-549.56	7.53	-1091.81	110.71	25.54	0.5033	-0.0069	33.76	41.29	44.95	44.52	26.47	-0.0434
0.050	40.24	471.34	0.007	-0.003	21.67	22.64	82.71	-552.57	23.66	-1051.99	88.90	34.84	0.5253	-0.0225	33.81	41.21	44.83	44.45	26.45	-0.0430
0.060	40.24	471.54	-0.017	-0.013	21.67	22.63	82.51	-550.28	32.35	-1019.14	66.41	35.00	0.5399	-0.0317	33.86	41.12	44.75	44.45	26.44	-0.0427
0.070	40.22	471.61	0.007	-0.000	21.67	22.62	82.56	-545.85	32.56	-996.80	47.01	26.41	0.5476	-0.0327	33.90	41.09	44.76	44.44	26.46	-0.0421
0.080	40.23	471.68	0.003	-0.006	21.67	22.62	82.66	-542.89	23.45	-1002.95	39.53	10.66	0.5413	-0.0234	33.95	41.09	44.77	44.47	26.46	-0.0420
0.090	40.23	471.68	-0.010	-0.012	21.67	22.62	82.66	-543.53	11.78	-1034.94	44.63	-9.13	0.5252	-0.0114	33.99	41.21	44.86	44.55	26.44	-0.0421
0.100	40.24	471.75	-0.006	-0.012	21.67	22.63	82.66	-539.35	-4.64	-1088.08	60.34	-27.53	0.4957	0.0043	34.06	41.29	44.88	44.64	26.45	-0.0424
0.110	40.26	471.75	0.000	-0.015	21.66	22.64	82.61	-524.13	-21.62	-1144.21	81.88	-39.98	0.4581	0.0189	34.08	41.39	44.96	44.66	26.46	-0.0430
